Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Deviant's War: The Homosexual vs. the United States of America,Eric Cervini,Vikas Adam (Narrator),9781250759122,audio,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Name of the Wind,Patrick Rothfuss,"",9780756404079,hardcover,to-read,2025/03/12,"","",0,"",,,,,,,,,"",,"",No
Wind and Truth,Brandon Sanderson,"",9781250319180,hardcover,read,2025/03/28,2025/09/06,2025/07/28-2025/09/06,1,"",,"","","","","",3.5,<div>I don't know if I'll ever get over how disappointing what this book does to Jasnah is. &nbsp;</div>,"","","",No
Flock,Kate Stewart,"",9798666886403,paperback,to-read,2023/06/22,"","",0,"",,,,,,,,,"",,"",No
Royal Assassin,Robin Hobb,"",B000FBFMFW,digital,currently-reading,2025/11/24,"","",0,"",,,,,,,,,"",,"",Yes
Lie with Me,Philippe Besson,Molly Ringwald (Translator),9781501197871,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
How We Fight For Our Lives,Saeed Jones,"",9781501132735,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Death by the Riverside,J.M. Redmann,"",9781931513050,paperback,read,2025/09/15,2025/09/17,2025/09/15-2025/09/17,1,"adventurous, dark, mysterious",medium,Plot,It's complicated,It's complicated,"","",3.5,<div>The internal dialog is kind of corny at times. Didn't take any bad guys seriously for most of it. Likable characters outside of being on the fence about Micky</div>,"","","",No
A Circle of Stars,Craig Montgomery,"",B0C1CWK5VQ,digital,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
Animal Farm,George Orwell,Téa Obreht (Contributor),9780451526342,paperback,read,2023/06/02,"","",1,"",,"","","","","",4.5,,"","","",No
The Invisible Life of Addie LaRue,V.E. Schwab,"",9780765387561,hardcover,to-read,2023/06/16,"","",0,"",,,,,,,,,"",,"",No
On Love and Barley: Haiku of Basho,Matsuo Bashō,Lucien Stryk (Translator),9780140444599,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Martyr!,Kaveh Akbar,"",9780593537619,hardcover,read,2025/03/02,2025/11/15,2025/11/06-2025/11/15,1,"dark, emotional, reflective",fast,"","","","","",4.0,"","","","",No
Cuộc cách mạng một-cọng-rơm,"Hoàng Hải Vân, Masanobu Fukuoka",Xanhshop (Translator),9788185569314,paperback,to-read,2023/06/03,"","",0,"",,,,,,,,,"",,"",No
The Kite Runner,Khaled Hosseini,"",9780747590033,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Anna Karenina,Leo Tolstoy,Hans Boland (Translator),"",hardcover,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
How to Carry Water: Selected Poems of Lucille Clifton,Lucille Clifton,Aracelis Girmay,1950774163,digital,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
